Криптовалюта,MAE ($),RMSE ($),MAPE (%),sMAPE (%),R2,Directional Acc (%),Gate Pass,Best Config
BTC-USD,1409.672997292226,1941.468842862761,1.5315312891679875,1.5315312891679875,0.9875386248802642,50.753768844221106,NO,"{'ticker': 'BTC-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 56, 'lstm2': 28, 'dropout': 0.3, 'lr': 0.0004, 'epochs': 40, 'batch_size': 64, 'window_size': 75, 'loss_name': 'huber'}"
ETH-USD,74.61377745002454,110.75928867133966,2.48392197776622,2.48392197776622,0.9827117683245955,54.773869346733676,YES,"{'ticker': 'ETH-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 48, 'lstm2': 24, 'dropout': 0.25, 'lr': 0.0005, 'epochs': 40, 'batch_size': 64, 'window_size': 60, 'loss_name': 'huber'}"
BNB-USD,14.936433486745473,24.015633655286646,1.8025592553466072,1.8025592553466072,0.9789594525626129,54.773869346733676,YES,"{'ticker': 'BNB-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 64, 'lstm2': 32, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch_size': 64, 'window_size': 60, 'loss_name': 'directional'}"
SOL-USD,4.142034961916133,5.911624227969842,2.857550698231984,2.857550698231984,0.9855344415413747,49.390243902439025,NO,"{'ticker': 'SOL-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 40, 'lstm2': 20, 'dropout': 0.2, 'lr': 0.0002, 'epochs': 55, 'batch_size': 64, 'window_size': 60, 'loss_name': 'directional'}"
XRP-USD,0.052842427488242104,0.08012601809638631,2.398726558268952,2.398726558268952,0.982361204636404,55.0251256281407,YES,"{'ticker': 'XRP-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 48, 'lstm2': 24, 'dropout': 0.25, 'lr': 0.0005, 'epochs': 40, 'batch_size': 64, 'window_size': 60, 'loss_name': 'huber'}"
ADA-USD,0.015866454453581803,0.023575679796981816,2.950829035981916,2.950829035981916,0.9895087951705704,47.48743718592965,NO,"{'ticker': 'ADA-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 40, 'lstm2': 20, 'dropout': 0.2, 'lr': 0.0002, 'epochs': 55, 'batch_size': 64, 'window_size': 60, 'loss_name': 'directional'}"
DOGE-USD,0.0053559906486041154,0.008128348409931816,3.107225777682095,3.107225777682095,0.977855778430795,52.76381909547738,YES,"{'ticker': 'DOGE-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 64, 'lstm2': 32, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch_size': 64, 'window_size': 60, 'loss_name': 'directional'}"
DOT-USD,0.07797959409599318,0.12471672766977082,3.140312565531636,3.140312565531636,0.9868513159004456,57.7922077922078,YES,"{'ticker': 'DOT-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 64, 'lstm2': 32, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch_size': 64, 'window_size': 60, 'loss_name': 'directional'}"
MATIC-USD,0.014965742242911568,0.02111959469578145,3.311991210116969,3.311991210116969,0.9747704624794629,47.78481012658228,NO,"{'ticker': 'MATIC-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 48, 'lstm2': 24, 'dropout': 0.25, 'lr': 0.0005, 'epochs': 40, 'batch_size': 64, 'window_size': 60, 'loss_name': 'huber'}"
LTC-USD,2.043931243427278,3.2380436383018747,2.3518049185006356,2.3518049185006356,0.9790045883361956,47.48743718592965,NO,"{'ticker': 'LTC-USD', 'start_date': '2019-01-01', 'test_ratio': 0.15, 'lstm1': 56, 'lstm2': 28, 'dropout': 0.3, 'lr': 0.0004, 'epochs': 40, 'batch_size': 64, 'window_size': 75, 'loss_name': 'huber'}"
